drug_id,name,approval_no,dosage_form,spec,usage,adverse_reaction,contraindication_text,pharmacology_text
DRF99292487C,琥珀酸对乙酰氨基酚肠溶胶囊,国药准字H20000096,片,204mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR6C34882F5F,瑞舒格列美脲缓释片,国药准字H20000097,片,488mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR2C9B05AE58,瑞舒布洛芬胶囊,国药准字H20000099,片,389mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DR1C57C69DC6,缬沙氢氯噻嗪控释片,国药准字H20000101,片,224mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR571B633955,缬沙格列美脲控释片,国药准字H20000102,片,406mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR043F01135B,阿托依那普利普通片,国药准字H20000103,片,75mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DR8C83E7DDA8,替米对乙酰氨基酚控释片,国药准字H20000104,片,451mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR4F0DA1807E,左旋美托洛尔缓释片,国药准字H20000105,片,335mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR01C64232F7,阿托左氧氟沙星缓释片,国药准字H20000106,片,145mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DRF1960DA84D,琥珀酸华法林胶囊,国药准字H20000107,片,401mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DR10214A50C8,苯磺酸华法林肠溶胶囊,国药准字H20000108,片,230mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DR201EB87CC9,瑞舒对乙酰氨基酚控释片,国药准字H20000109,片,40mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR5B01A7B0E0,左旋二甲双胍控释片,国药准字H20000110,片,421mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DRFE55EE37EF,酒石酸布洛芬普通片,国药准字H20000111,片,391mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DRCD62521F0E,马来酸对乙酰氨基酚分散片,国药准字H20000112,片,407mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DRF5F60FA204,苯磺酸阿司匹林分散片,国药准字H20000113,片,404mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR9897C529CD,瑞舒茶碱缓释片,国药准字H20000114,片,45mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DRBCF7199295,马来酸奥美拉唑控释片,国药准字H20000115,片,414mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DR3562BF05DF,缬沙布洛芬胶囊,国药准字H20000116,片,249mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DRFF561AE967,苯磺酸卡托普利肠溶胶囊,国药准字H20000119,片,169mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR4843A037EF,琥珀酸卡托普利普通片,国药准字H20000121,片,358mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DRB06E4AF168,替米美托洛尔分散片,国药准字H20000122,片,457mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR8E277B7515,缬沙格列美脲肠溶胶囊,国药准字H20000123,片,308mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR367B3DEA65,酒石酸辛伐他汀控释片,国药准字H20000124,片,76mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR8087AA4CDB,苯磺酸奥美拉唑胶囊,国药准字H20000125,片,309mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DR8CA1F8CBEB,缬沙茶碱控释片,国药准字H20000126,片,443mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DR0C4908A943,苯磺酸辛伐他汀分散片,国药准字H20000127,片,43mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR1F14E11CB0,替米硝苯地平缓释片,国药准字H20000128,片,81mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRCD69A29EFD,酒石酸美托洛尔胶囊,国药准字H20000129,片,496mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DRBA34078782,酒石酸奥美拉唑胶囊,国药准字H20000130,片,237mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DRD44DE89224,酒石酸二甲双胍胶囊,国药准字H20000131,片,267mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR82871F8E9B,替米二甲双胍控释片,国药准字H20000132,片,415mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR7251EB0D71,阿托对乙酰氨基酚控释片,国药准字H20000134,片,11mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR51DD928446,琥珀酸茶碱分散片,国药准字H20000135,片,395mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DRBB246B046A,酒石酸格列美脲胶囊,国药准字H20000136,片,444mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR2C022B34F7,酒石酸阿司匹林缓释片,国药准字H20000137,片,367mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DRC3C44C3BEB,阿托依那普利肠溶胶囊,国药准字H20000138,片,259mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DRE60C8C71A8,酒石酸华法林普通片,国药准字H20000139,片,390mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DR74202BCA78,酒石酸对乙酰氨基酚普通片,国药准字H20000141,片,55mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DRE6E1A16A61,酒石酸辛伐他汀缓释片,国药准字H20000143,片,42mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR99E22D53BD,瑞舒华法林胶囊,国药准字H20000144,片,157mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DRBE7D40EFFF,盐酸奥美拉唑控释片,国药准字H20000145,片,209mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DR944DFFAD13,马来酸对乙酰氨基酚普通片,国药准字H20000146,片,54mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DRF12AADF240,酒石酸左氧氟沙星肠溶胶囊,国药准字H20000147,片,155mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR86A7FF3CDD,盐酸二甲双胍控释片,国药准字H20000148,片,43mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DRA091C6BFBC,马来酸阿司匹林控释片,国药准字H20000150,片,130mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DRF6C1DDBE6E,替米格列美脲胶囊,国药准字H20000151,片,477mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR860502AC02,琥珀酸氢氯噻嗪肠溶胶囊,国药准字H20000152,片,216mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR489FD19368,酒石酸左氧氟沙星控释片,国药准字H20000153,片,369mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR4F685093AF,缬沙卡托普利缓释片,国药准字H20000154,片,477mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR0BA19B2B9B,马来酸硝苯地平控释片,国药准字H20000157,片,342mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRC11BA42BD3,阿托格列美脲缓释片,国药准字H20000158,片,181mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DRF4950080F4,酒石酸茶碱控释片,国药准字H20000159,片,244mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DRC52767095C,琥珀酸美托洛尔缓释片,国药准字H20000160,片,147mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR05A8726E12,琥珀酸硝苯地平分散片,国药准字H20000161,片,495mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRC6DD82090C,阿托阿司匹林控释片,国药准字H20000162,片,371mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR8821E8D079,瑞舒硝苯地平缓释片,国药准字H20000163,片,226mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRE61B88FD33,替米左氧氟沙星肠溶胶囊,国药准字H20000164,片,377mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DRC178B3F6EA,盐酸卡托普利胶囊,国药准字H20000165,片,278mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR2A770583EF,缬沙华法林肠溶胶囊,国药准字H20000166,片,491mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DRB787EB92A4,阿托对乙酰氨基酚胶囊,国药准字H20000167,片,45mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR63EFFF3071,替米奥美拉唑分散片,国药准字H20000168,片,305mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DRC41887C689,阿托硝苯地平胶囊,国药准字H20000169,片,286mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DR5D8ED56C1F,缬沙奥美拉唑普通片,国药准字H20000170,片,5mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DR9455F85050,缬沙格列美脲分散片,国药准字H20000171,片,30mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR50932DA321,苯磺酸左氧氟沙星胶囊,国药准字H20000172,片,147mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DRE7B2B56E06,阿托依那普利缓释片,国药准字H20000173,片,86mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DRB9009BB8C6,替米茶碱缓释片,国药准字H20000174,片,205mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DR077D0EB1FC,阿托二甲双胍缓释片,国药准字H20000175,片,70mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR33C933AF78,替米辛伐他汀肠溶胶囊,国药准字H20000176,片,145mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR57F72CAE7B,盐酸华法林控释片,国药准字H20000177,片,485mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DR07C105FE09,马来酸阿司匹林普通片,国药准字H20000178,片,465mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DRFAE3BD8DCC,瑞舒左氧氟沙星普通片,国药准字H20000179,片,243mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR4E21594E7D,缬沙硝苯地平普通片,国药准字H20000180,片,233mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DR3F22A90DD2,缬沙依那普利胶囊,国药准字H20000181,片,332mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DR768A97459D,瑞舒硝苯地平控释片,国药准字H20000182,片,482mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DR05E95562DC,酒石酸氢氯噻嗪普通片,国药准字H20000183,片,178mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR6380314436,酒石酸华法林肠溶胶囊,国药准字H20000184,片,152mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
